account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag
A-bf7919,Company_426,HealthTech,US,,organic,Pro,3,,
A-1d5444,Company_427,Cybersecurity,US,,partner,Basic,24,,
A-0f3e88,Company_428,HealthTech,US,,other,Basic,7,,
A-7641d3,Company_429,EdTech,US,,partner,Pro,8,,
A-cd458b,Company_430,DevTools,US,,other,Basic,10,,
A-c16b88,Company_431,HealthTech,US,,event,Enterprise,23,,
A-59f724,Company_432,HealthTech,US,,other,Enterprise,3,,
A-87aa7b,Company_433,HealthTech,US,,organic,Pro,24,,
A-1e6fc3,Company_434,EdTech,FR,,other,Pro,1,,
A-39ddf4,Company_435,EdTech,US,,partner,Enterprise,40,,
A-34ea2f,Company_436,HealthTech,US,,organic,Enterprise,8,,
A-716841,Company_437,FinTech,US,,other,Pro,45,,
A-558c72,Company_438,FinTech,US,,organic,Basic,12,,
A-b11cd0,Company_439,DevTools,US,,ads,Pro,26,,
A-cc1d8d,Company_440,FinTech,US,,other,Pro,5,,
A-7f4db3,Company_441,FinTech,US,,other,Pro,4,,
A-db5e9e,Company_442,DevTools,US,,partner,Basic,4,,
A-cc102e,Company_443,HealthTech,US,,partner,Enterprise,13,,
A-82d8a6,Company_444,Cybersecurity,UK,,ads,Basic,5,,
A-dec005,Company_445,HealthTech,US,,partner,Pro,21,,
A-5790f4,Company_446,FinTech,UK,,event,Pro,1,,
A-7c83a1,Company_447,Cybersecurity,US,,partner,Pro,12,,
A-297a2d,Company_448,HealthTech,UK,,event,Pro,27,,
A-4c56c9,Company_449,FinTech,US,,partner,Enterprise,9,,
A-cbbe12,Company_450,Cybersecurity,DE,,partner,Enterprise,40,,
A-4a267b,Company_451,FinTech,US,,other,Pro,25,,
A-bcbe98,Company_452,Cybersecurity,US,,other,Enterprise,46,,
A-427b69,Company_453,FinTech,US,,other,Basic,17,,
A-0be015,Company_454,FinTech,US,,event,Pro,19,,
A-054577,Company_455,EdTech,UK,,ads,Basic,2,,
A-bc87bc,Company_456,FinTech,US,,event,Pro,3,,
A-0f7d77,Company_457,FinTech,IN,,partner,Pro,3,,
A-e7beab,Company_458,EdTech,DE,,organic,Enterprise,5,,
A-a09355,Company_459,FinTech,US,,organic,Basic,14,,
A-31ab9a,Company_460,FinTech,DE,,organic,Pro,3,,
A-0158bb,Company_461,FinTech,DE,,partner,Basic,5,,
A-f19b24,Company_462,Cybersecurity,US,,organic,Pro,29,,
A-798a3f,Company_463,DevTools,FR,,other,Enterprise,12,,
A-42b791,Company_464,FinTech,AU,,event,Pro,3,,
A-068fc6,Company_465,EdTech,US,,event,Enterprise,35,,
A-6f50ae,Company_466,FinTech,US,,partner,Pro,19,,
A-a2485e,Company_467,FinTech,US,,event,Pro,3,,
A-bb1eaa,Company_468,Cybersecurity,US,,organic,Basic,21,,
A-cc98bc,Company_469,DevTools,US,,ads,Basic,32,,
A-d77f4c,Company_470,DevTools,US,,partner,Pro,4,,
A-ccabf0,Company_471,HealthTech,IN,,organic,Pro,1,,
A-700ade,Company_472,Cybersecurity,UK,,organic,Enterprise,1,,
A-4a4c2d,Company_473,DevTools,US,,event,Enterprise,54,,
A-b7ef83,Company_474,Cybersecurity,UK,,partner,Pro,1,,
A-e08cd3,Company_475,FinTech,US,,ads,Pro,67,,
A-19b2c8,Company_476,DevTools,IN,,other,Pro,20,,
A-970c97,Company_477,HealthTech,DE,,other,Enterprise,14,,
A-6dee43,Company_478,FinTech,UK,,other,Basic,3,,
A-5ed98d,Company_479,DevTools,US,,partner,Basic,24,,
A-c58f49,Company_480,EdTech,US,,other,Enterprise,70,,
A-9c18c4,Company_481,HealthTech,US,,ads,Pro,11,,
A-cc8c8f,Company_482,DevTools,US,,ads,Enterprise,23,,
A-5f7781,Company_483,DevTools,US,,other,Pro,22,,
A-e1b9cd,Company_484,DevTools,US,,event,Pro,40,,
A-ac85cd,Company_485,EdTech,US,,partner,Enterprise,53,,
A-d792a6,Company_486,DevTools,US,,organic,Enterprise,4,,
A-ac9111,Company_487,HealthTech,US,,event,Pro,21,,
A-18793f,Company_488,EdTech,US,,organic,Basic,148,,
A-9f0b68,Company_489,EdTech,US,,ads,Basic,10,,
A-d3c88e,Company_490,DevTools,US,,event,Pro,16,,
A-ccb686,Company_491,DevTools,US,,other,Basic,10,,
A-118f1c,Company_492,Cybersecurity,US,,other,Pro,32,,
A-0e966d,Company_493,FinTech,IN,,ads,Basic,11,,
A-b9f5b1,Company_494,Cybersecurity,US,,other,Pro,15,,
A-8ae3fc,Company_495,DevTools,CA,,ads,Pro,9,,
A-55f257,Company_496,FinTech,US,,organic,Basic,9,,
A-d26ab4,Company_497,DevTools,UK,,organic,Basic,9,,
A-712533,Company_498,EdTech,US,,organic,Pro,18,,
A-781cc0,Company_499,EdTech,US,,organic,Pro,12,,
