ticket_id,account_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,escalation_flag
T-adcdc9,A-adc1f3,,,71,urgent,25,4.0,
T-6d98ab,A-ced9aa,,,46,high,124,4.0,
T-1cea26,A-bcf664,,,69,high,169,5.0,
T-c6dcaf,A-32fb14,,,63,low,24,4.0,
T-4bf7c6,A-463db0,,,4,low,171,4.0,
T-7dfa96,A-e888d1,,,64,low,98,4.0,
T-22b4a9,A-3cc791,,,58,urgent,48,3.0,
T-bf0575,A-78f02b,,,59,high,125,5.0,
T-0ca62f,A-e40f45,,,29,urgent,114,5.0,
T-20c0bf,A-2d4502,,,64,urgent,30,5.0,
T-1c2c18,A-ed510f,,,56,urgent,122,4.0,
T-e07558,A-296d7c,,,14,urgent,31,3.0,
T-d6be94,A-30b4ca,,,57,medium,125,4.0,
T-e6c083,A-443b7c,,,42,high,81,5.0,
T-134bb9,A-2bc93d,,,7,medium,44,5.0,
T-118f13,A-19b2c8,,,32,high,109,5.0,
T-956203,A-ccb686,,,67,high,30,4.0,
T-2ae381,A-f3ff05,,,50,medium,108,3.0,
T-897033,A-1b7577,,,63,urgent,157,3.0,
T-f14a3d,A-0be015,,,13,urgent,123,4.0,
T-6bdc37,A-80eeb6,,,41,high,89,5.0,
T-2fee89,A-42e5e1,,,27,high,124,4.0,
T-14ab7d,A-bece89,,,25,medium,63,5.0,
T-c9394b,A-427b69,,,6,medium,99,4.0,
T-7b4c85,A-5a215a,,,64,urgent,18,4.0,
T-ab2c55,A-45ce7a,,,42,medium,49,3.0,
T-11b816,A-9077b0,,,2,urgent,180,3.0,
T-d51f64,A-558c72,,,60,low,30,4.0,
T-675d69,A-19b2c8,,,32,medium,132,4.0,
T-9a1036,A-443b7c,,,31,urgent,51,5.0,
T-ba404b,A-8145a0,,,11,low,30,5.0,
T-9d4edb,A-9174e0,,,53,low,173,4.0,
T-2ca992,A-3f9cc0,,,44,high,28,4.0,
T-d9cb01,A-0baac2,,,58,urgent,104,4.0,
T-3fd10a,A-bcbe98,,,39,high,29,4.0,
T-df66b4,A-425e76,,,72,high,160,3.0,
T-16968a,A-e89151,,,29,medium,54,4.0,
T-a65a71,A-e89151,,,54,medium,43,5.0,
T-c28542,A-d49cc5,,,52,medium,32,4.0,
T-f3737d,A-1986ca,,,9,low,100,4.0,
T-fb84f7,A-ce550d,,,69,medium,90,5.0,
T-4db8d5,A-40a557,,,51,urgent,119,5.0,
T-9fc75b,A-4c6f11,,,54,high,173,5.0,
T-274882,A-3b37d9,,,32,medium,89,5.0,
T-8444c1,A-69fad4,,,71,medium,114,4.0,
T-d82bc4,A-157070,,,25,urgent,152,4.0,
T-604490,A-f9cc74,,,58,low,115,4.0,
T-55edb1,A-b9eed8,,,30,medium,87,5.0,
T-466dab,A-d82ef9,,,64,urgent,38,5.0,
T-dd5960,A-f19b24,,,13,urgent,73,4.0,
T-ef33cf,A-1e1b80,,,24,medium,16,4.0,
T-d8aafb,A-fa3095,,,54,low,91,4.0,
T-a14a68,A-86fc1d,,,64,high,38,3.0,
T-0e6900,A-d42431,,,30,medium,20,4.0,
T-5e66ab,A-c37601,,,19,urgent,180,4.0,
T-a5e537,A-186a44,,,62,high,176,3.0,
T-7e77dc,A-7cfe77,,,19,medium,42,4.0,
T-e2d68e,A-8ae3fc,,,69,high,14,4.0,
T-f6909c,A-5a92e7,,,47,medium,9,5.0,
T-154975,A-313be3,,,37,urgent,70,4.0,
T-2b6bb1,A-993085,,,68,high,33,4.0,
T-95452e,A-aa9511,,,57,urgent,61,4.0,
T-da0863,A-1e6fc3,,,22,high,2,5.0,
T-65d099,A-e60f9d,,,70,urgent,81,4.0,
T-5ceddb,A-4d1e75,,,3,medium,173,4.0,
T-4579d9,A-76fa4d,,,29,medium,57,5.0,
T-4669d1,A-4ae22a,,,30,low,101,3.0,
T-1acc04,A-8145a0,,,19,high,85,4.0,
T-284720,A-cc102e,,,1,low,93,3.0,
T-20d740,A-8145a0,,,38,medium,119,4.0,
T-df87ef,A-67be94,,,68,high,7,5.0,
T-9def1e,A-ffc04f,,,4,high,18,4.0,
T-0bc38a,A-c70870,,,19,low,159,5.0,
T-0de7f1,A-e7beab,,,25,low,172,4.0,
T-d4805c,A-1b9609,,,16,low,42,4.0,
T-b35070,A-39b19f,,,67,high,133,4.0,
T-73d14f,A-726cfa,,,61,low,142,4.0,
T-035748,A-e98302,,,56,urgent,133,4.0,
T-b918db,A-f25509,,,21,low,162,5.0,
T-3cdeb2,A-600734,,,65,medium,88,4.0,
T-7309d6,A-ccabf0,,,43,medium,43,4.0,
T-2795e4,A-09316c,,,69,low,81,3.0,
T-a32dd4,A-6a7c9d,,,27,high,13,4.0,
T-e41843,A-c9bb3e,,,30,high,119,4.0,
T-81a9e7,A-712f1c,,,43,medium,108,4.0,
T-38714f,A-fe79a5,,,7,high,63,4.0,
T-322072,A-8e47ca,,,35,high,130,4.0,
T-99b0b8,A-a0ca4e,,,59,low,148,3.0,
T-98be51,A-5790f4,,,70,medium,13,4.0,
T-bb7fa9,A-7f6b86,,,57,high,81,4.0,
T-0a3847,A-49b828,,,9,medium,20,3.0,
T-6dbff1,A-bcbe98,,,52,medium,11,3.0,
T-8be779,A-139c3b,,,21,low,5,4.0,
T-791dc9,A-0aaf6e,,,44,low,127,4.0,
T-b25f66,A-f3ff05,,,51,low,104,4.0,
T-992cf9,A-c9bb3e,,,16,medium,21,4.0,
T-d72e3b,A-bd4708,,,5,medium,34,3.0,
T-e46e71,A-9badbd,,,17,urgent,125,4.0,
T-c5ffb0,A-ce66f8,,,37,urgent,139,4.0,
T-cb3efb,A-e7beab,,,19,high,28,5.0,
T-885f5b,A-4e960a,,,13,low,141,4.0,
T-a45f3e,A-d792a6,,,45,urgent,174,4.0,
T-e834e7,A-310452,,,24,medium,46,4.0,
T-ddf662,A-5247b3,,,33,high,66,4.0,
T-210819,A-ed510f,,,11,medium,87,4.0,
T-416fb5,A-b9eed8,,,24,medium,114,3.0,
T-7cdb82,A-bd4513,,,71,medium,37,4.0,
T-c9f3f0,A-309e54,,,26,high,145,4.0,
T-45239b,A-7f6b86,,,65,high,29,4.0,
T-a61785,A-756192,,,59,urgent,17,4.0,
T-112307,A-9badbd,,,56,urgent,37,5.0,
T-8a14a4,A-ac85cd,,,61,medium,128,3.0,
T-4cf1f9,A-d792a6,,,14,urgent,125,4.0,
T-ae29f6,A-9a532a,,,45,high,176,4.0,
T-a5de10,A-ce550d,,,36,medium,98,4.0,
T-1ab00a,A-d922bf,,,52,low,30,4.0,
T-1b7db9,A-712533,,,40,low,145,5.0,
T-2b2d2d,A-39868b,,,55,medium,40,3.0,
T-66d5a0,A-671f31,,,17,urgent,153,4.0,
T-056486,A-86902e,,,34,medium,7,4.0,
T-afa224,A-bcbe98,,,58,urgent,1,4.0,
T-62614c,A-89ee83,,,11,urgent,32,4.0,
T-abeb65,A-c70870,,,55,low,10,4.0,
T-c16052,A-05d3b3,,,46,high,70,4.0,
T-5fff6a,A-9123ac,,,24,medium,169,4.0,
T-347ab6,A-cc102e,,,7,high,36,4.0,
T-3d947f,A-3932db,,,68,low,26,5.0,
T-921bf4,A-f97b9a,,,27,medium,109,4.0,
T-6b831b,A-9208f0,,,67,low,57,3.0,
T-c59e1a,A-40906c,,,37,low,127,3.0,
T-abd0a8,A-0354fe,,,1,high,107,3.0,
T-1e6dde,A-ac9111,,,40,urgent,89,4.0,
T-94b38c,A-503d5a,,,26,high,128,4.0,
T-399e29,A-bb1eaa,,,1,high,67,4.0,
T-8fd002,A-2d1036,,,48,low,53,4.0,
T-7bb8d5,A-1ac5e0,,,33,medium,50,4.0,
T-e062e2,A-378b99,,,39,high,106,3.0,
T-880bce,A-54d94a,,,71,low,118,4.0,
T-7b09d9,A-e19ff6,,,9,high,162,5.0,
T-306781,A-bb3bd4,,,57,medium,21,4.0,
T-9e2480,A-328bd0,,,70,high,26,4.0,
T-af5765,A-3c1a3f,,,19,low,44,3.0,
T-b60d4d,A-417d2f,,,52,high,20,5.0,
T-e33b60,A-c37601,,,53,low,23,3.0,
T-44e08c,A-45ce7a,,,50,medium,101,4.0,
T-8c6169,A-7dacce,,,7,high,135,3.0,
T-baf332,A-8145a0,,,18,medium,98,4.0,
T-e6d8dd,A-e4bf56,,,22,urgent,175,5.0,
T-52a57e,A-5b051a,,,2,urgent,2,3.0,
T-8f8c19,A-309e54,,,3,low,87,4.0,
T-5d46d9,A-fdfc91,,,11,high,148,4.0,
T-bc6854,A-d3c88e,,,49,high,98,4.0,
T-141b01,A-337bc1,,,19,medium,136,4.0,
T-b3739a,A-2f6a32,,,25,medium,139,3.0,
T-fa0eed,A-f25509,,,49,high,68,4.0,
T-bc6799,A-9f9299,,,71,medium,146,4.0,
T-90b336,A-d26ab4,,,52,urgent,148,4.0,
T-1ecc39,A-c7e58b,,,4,high,28,4.0,
T-4ecb7b,A-acb7f7,,,50,low,98,4.0,
T-76c486,A-089363,,,25,low,153,3.0,
T-20065b,A-1e1b80,,,57,high,54,4.0,
T-161f9c,A-6c093d,,,27,high,6,4.0,
T-1e8229,A-5790f4,,,4,medium,3,4.0,
T-aac2ca,A-18793f,,,38,low,155,4.0,
T-b6d936,A-cb6cc6,,,18,high,135,4.0,
T-6d8b81,A-117171,,,44,high,52,4.0,
T-2006d9,A-e40f45,,,48,high,157,4.0,
T-01e321,A-3ce5b8,,,46,medium,80,4.0,
T-cd5725,A-f6b2fb,,,72,high,155,4.0,
T-e727f3,A-39868b,,,60,medium,122,4.0,
T-22c308,A-6f50ae,,,45,low,105,5.0,
T-533b28,A-1b9609,,,65,high,26,4.0,
T-14571c,A-02fac6,,,36,low,176,5.0,
T-71ab14,A-f97b9a,,,43,medium,39,4.0,
T-7dca41,A-b48f73,,,46,low,62,4.0,
T-777bf4,A-0f6450,,,2,low,54,5.0,
T-d5f2dd,A-0532a9,,,38,high,86,3.0,
T-0fc8f9,A-fda07f,,,30,medium,110,3.0,
T-db2c10,A-0aaf6e,,,59,low,47,5.0,
T-89d6c4,A-40de06,,,16,medium,111,4.0,
T-4c383b,A-993085,,,37,low,109,3.0,
T-cce7ba,A-17939a,,,53,urgent,150,4.0,
T-2651ec,A-8e47ca,,,10,high,21,4.0,
T-673852,A-4e44e8,,,2,low,10,3.0,
T-d75ceb,A-9b9fe9,,,33,urgent,158,3.0,
T-49a11d,A-6c093d,,,36,medium,123,5.0,
T-274cf7,A-781cc0,,,71,low,9,3.0,
T-31021c,A-65a46c,,,62,low,116,3.0,
T-37d585,A-0f7d77,,,52,high,138,5.0,
T-d80a44,A-58b9ff,,,67,medium,38,4.0,
T-1e968e,A-484819,,,15,urgent,127,4.0,
T-e1d305,A-149a69,,,46,urgent,114,3.0,
T-74d3f4,A-038089,,,41,low,102,4.0,
T-b3cd04,A-5247b3,,,64,medium,51,5.0,
T-0cf3e3,A-0be015,,,66,medium,53,4.0,
T-b57da5,A-65a46c,,,3,urgent,107,4.0,
T-f59d6e,A-3c1a3f,,,58,low,99,4.0,
T-7772d1,A-104f1a,,,56,low,40,4.0,
T-c895a0,A-5a92e7,,,22,medium,3,3.0,
T-19ea5b,A-d4ac0e,,,18,low,15,4.0,
T-c8e32b,A-bc4d48,,,12,high,129,4.0,
T-3ca62f,A-3b37d9,,,16,urgent,103,4.0,
T-6684a4,A-cc8c8f,,,22,urgent,103,3.0,
T-d0a540,A-e5d6ab,,,54,high,11,4.0,
T-b456f1,A-c4ea60,,,5,low,22,5.0,
T-79975c,A-10b8f2,,,68,low,116,5.0,
T-1c3d56,A-3cc791,,,17,medium,151,4.0,
T-5fc181,A-a7bd4b,,,36,low,109,4.0,
T-4220fc,A-0f6450,,,27,low,70,3.0,
T-ddd1a5,A-ae052e,,,31,low,62,5.0,
T-bf2ee1,A-b2af2e,,,14,medium,99,4.0,
T-4a7bb7,A-6c093d,,,58,high,76,4.0,
T-ed85f6,A-05d3b3,,,14,medium,40,4.0,
T-601022,A-39b19f,,,43,low,32,5.0,
T-8027c4,A-66224b,,,28,low,113,3.0,
T-eed292,A-bb2f49,,,18,low,100,4.0,
T-779cd9,A-b11cd0,,,45,low,160,4.0,
T-1bf8d6,A-cc102e,,,64,medium,130,5.0,
T-a7d132,A-503d5a,,,19,low,41,4.0,
T-8ccee6,A-6e08f3,,,26,urgent,122,3.0,
T-c8afc4,A-19b2c8,,,24,medium,29,5.0,
T-cdfd31,A-1d5444,,,5,high,96,4.0,
T-13718e,A-a7bd4b,,,64,high,14,3.0,
T-2c8cf7,A-940b8b,,,62,urgent,57,3.0,
T-134994,A-0a62f5,,,59,high,153,4.0,
T-9f9f2d,A-4814a3,,,27,medium,57,4.0,
T-8b1e89,A-cbbe12,,,53,high,7,3.0,
T-3804b6,A-e98302,,,3,high,40,5.0,
T-862af5,A-e7beab,,,2,low,139,5.0,
T-09eea1,A-328bd0,,,40,medium,106,4.0,
T-e00e0a,A-6e7827,,,67,medium,81,4.0,
T-7d8c37,A-94d3da,,,14,low,4,5.0,
T-e4b581,A-ef84cf,,,16,low,11,4.0,
T-21da91,A-b9f5b1,,,32,low,121,3.0,
T-09e88f,A-bb2f49,,,14,urgent,45,4.0,
T-0854a1,A-0354fe,,,62,high,78,4.0,
T-f932f6,A-ef84cf,,,3,urgent,91,4.0,
T-ca7d9e,A-20736a,,,40,high,145,3.0,
T-c2e25a,A-50bb9f,,,16,medium,142,5.0,
T-f7e86b,A-10b8da,,,24,high,32,4.0,
T-6a7af3,A-d49cc5,,,5,urgent,134,5.0,
T-b65657,A-f92792,,,20,medium,84,4.0,
T-7df5b2,A-b78bf8,,,6,medium,161,5.0,
T-30fb5e,A-34ea2f,,,11,low,158,3.0,
T-0cd0f4,A-f6b2fb,,,40,high,56,4.0,
T-72295c,A-ad64c6,,,4,medium,60,4.0,
T-bf6b9b,A-35083d,,,52,high,87,5.0,
T-d7ff1e,A-558c72,,,71,urgent,91,4.0,
T-a2760f,A-68f37c,,,2,medium,169,4.0,
T-4cc0d7,A-558c72,,,60,medium,113,5.0,
T-6b7933,A-b7ef83,,,28,urgent,88,4.0,
T-9703b6,A-7df7a7,,,8,urgent,142,4.0,
T-f10d70,A-fda07f,,,6,high,3,4.0,
T-f09f22,A-ef84cf,,,62,urgent,54,5.0,
T-5ab106,A-f97b9a,,,43,low,45,4.0,
T-d67e21,A-4814a3,,,12,low,150,4.0,
T-39910e,A-019782,,,10,urgent,166,4.0,
T-0e1c0e,A-69b156,,,64,high,161,5.0,
T-e496a8,A-117171,,,22,medium,34,4.0,
T-1dbfc1,A-c42f1f,,,70,high,67,4.0,
T-de489a,A-692f18,,,55,high,96,5.0,
T-fd80a1,A-bcbe98,,,49,urgent,122,4.0,
T-0e39f9,A-726cfa,,,9,high,93,4.0,
T-027331,A-474ad4,,,18,medium,76,5.0,
T-324459,A-51ec1b,,,58,high,105,5.0,
T-2b0805,A-202b67,,,35,urgent,179,4.0,
T-1f5562,A-86902e,,,65,medium,69,4.0,
T-c2a8c2,A-779e4e,,,15,urgent,86,5.0,
T-dbe987,A-463db0,,,69,medium,25,4.0,
T-17b048,A-443b7c,,,24,urgent,44,3.0,
T-d3ac82,A-f17767,,,61,high,88,4.0,
T-3716d2,A-e61e98,,,71,medium,127,5.0,
T-c16096,A-e08cd3,,,57,urgent,148,4.0,
T-07968b,A-068fc6,,,62,low,123,4.0,
T-c6d16e,A-00bed1,,,28,urgent,107,4.0,
T-0088b7,A-ce550d,,,65,medium,173,3.0,
T-3a75b1,A-3be56b,,,60,low,61,4.0,
T-6a99e2,A-c42f1f,,,48,low,37,5.0,
T-646e6d,A-019782,,,10,urgent,48,3.0,
T-e81350,A-cea1f0,,,49,urgent,172,5.0,
T-866db3,A-f446b6,,,22,low,106,4.0,
T-faf9c4,A-40a557,,,21,low,143,4.0,
T-b475e9,A-f51f16,,,15,urgent,109,4.0,
T-911d71,A-dcc3f1,,,40,urgent,3,3.0,
T-861a59,A-3b37d9,,,28,medium,39,4.0,
T-ad1e6e,A-503d5a,,,58,medium,116,4.0,
T-8132dc,A-474ad4,,,33,urgent,11,4.0,
T-ad077a,A-6dee43,,,24,urgent,12,3.0,
T-09f4bd,A-ce66f8,,,34,medium,75,3.0,
T-cd1aee,A-1ac5e0,,,6,high,99,3.0,
T-ff778b,A-9badbd,,,16,low,47,4.0,
T-3090a7,A-f19409,,,5,medium,175,4.0,
T-e67195,A-3ce5b8,,,50,low,156,3.0,
T-0c9932,A-eb2fdc,,,16,medium,50,5.0,
T-b88fe0,A-34ea2f,,,7,medium,42,4.0,
T-e63e72,A-396e5f,,,21,high,125,4.0,
T-ae7b6e,A-4e44e8,,,21,urgent,45,3.0,
T-963409,A-5a92e7,,,17,urgent,127,4.0,
T-7faf10,A-600734,,,52,medium,79,4.0,
T-b9f162,A-20736a,,,57,high,131,4.0,
T-29acb7,A-68f37c,,,21,urgent,76,4.0,
T-1a05b7,A-2446e3,,,6,urgent,111,3.0,
T-202a0d,A-17939a,,,34,medium,7,4.0,
T-c44351,A-4d1e75,,,27,medium,24,4.0,
T-5c1ed6,A-de58ca,,,12,low,148,3.0,
T-e2e929,A-b07b56,,,28,high,43,3.0,
T-99e0a1,A-378b99,,,28,low,110,4.0,
T-ffc8ec,A-43a9e3,,,35,medium,41,3.0,
T-12b388,A-0354fe,,,15,medium,14,4.0,
T-3b6d69,A-ba6516,,,60,medium,90,4.0,
T-dd2674,A-3932db,,,19,high,158,5.0,
T-ae22ba,A-bb3bd4,,,3,low,178,4.0,
T-34421f,A-02fac6,,,16,high,179,3.0,
T-1018b1,A-1619f8,,,20,medium,89,4.0,
T-474619,A-139c3b,,,3,medium,88,5.0,
T-f925c6,A-425e76,,,16,high,162,4.0,
T-b6633c,A-02fac6,,,34,urgent,107,4.0,
T-7ddfa5,A-977ca0,,,56,high,117,4.0,
T-0a1945,A-798a3f,,,7,urgent,34,4.0,
T-5dbf5b,A-7cfe77,,,38,high,154,3.0,
T-ecf597,A-d42431,,,10,high,174,3.0,
T-cb2104,A-fb186e,,,9,low,6,5.0,
T-235e0a,A-ce66f8,,,70,medium,107,4.0,
T-9369c9,A-e351e1,,,41,urgent,51,3.0,
T-86a1f6,A-bb2f49,,,35,high,162,4.0,
T-1ba73b,A-e40f45,,,3,medium,75,3.0,
T-c863f8,A-94f8c9,,,69,low,141,5.0,
T-1ea354,A-ae052e,,,12,urgent,48,4.0,
T-611c1e,A-8e47ca,,,4,high,17,3.0,
T-6047ed,A-c45b23,,,61,high,25,4.0,
T-47ef6b,A-712426,,,1,medium,43,4.0,
T-2e8d9d,A-9ee962,,,8,low,31,4.0,
T-c400c4,A-7f6b86,,,15,high,39,4.0,
T-520606,A-43a9e3,,,15,urgent,89,5.0,
T-3f5174,A-a7bd4b,,,42,high,98,3.0,
T-3a9f01,A-038089,,,61,urgent,32,3.0,
T-91bbd1,A-427b69,,,57,urgent,120,3.0,
T-72bc99,A-ff3c73,,,5,urgent,116,4.0,
T-f29fb2,A-186a44,,,53,medium,103,4.0,
T-a01218,A-075038,,,50,high,104,3.0,
T-463295,A-3a7284,,,61,urgent,152,3.0,
T-464084,A-1f0636,,,60,high,82,4.0,
T-2188d7,A-f5641b,,,4,urgent,46,3.0,
T-474315,A-bb3bd4,,,41,urgent,139,4.0,
T-9bb199,A-af0cd2,,,69,urgent,152,4.0,
T-bd38ae,A-5a184f,,,5,medium,38,4.0,
T-6e3b72,A-3b5cd1,,,3,medium,22,4.0,
T-be97e7,A-7d514c,,,5,low,87,5.0,
T-5ceae7,A-92a3af,,,31,high,10,3.0,
T-b4c569,A-b48f73,,,1,high,4,5.0,
T-095fc4,A-9208f0,,,40,urgent,100,4.0,
T-e6b94b,A-7cfe77,,,47,low,143,3.0,
T-832df9,A-88c6ca,,,56,urgent,12,4.0,
T-0ceebb,A-72799b,,,55,high,104,5.0,
T-e6ff26,A-4e960a,,,20,urgent,130,4.0,
T-69f219,A-9289f6,,,64,high,26,4.0,
T-688401,A-1e1b80,,,34,high,94,3.0,
T-7620e2,A-54ecc2,,,33,high,129,4.0,
T-10020f,A-3932db,,,28,urgent,71,4.0,
T-a2eb91,A-4c56c9,,,58,medium,136,4.0,
T-57fa50,A-104f1a,,,53,high,118,5.0,
T-b9b80b,A-afa505,,,57,urgent,49,3.0,
T-dd1f11,A-bcbe98,,,34,medium,71,4.0,
T-c46a1b,A-86cdb4,,,31,medium,119,5.0,
T-7048cb,A-adc1f3,,,1,low,41,3.0,
T-65bdba,A-8ae05d,,,47,high,48,4.0,
T-da9797,A-bc87bc,,,45,high,160,3.0,
T-c786ff,A-c222ab,,,39,urgent,152,4.0,
T-f39a06,A-96e141,,,70,medium,58,4.0,
T-5a8cb8,A-9affe6,,,64,low,51,4.0,
T-580c71,A-068fc6,,,9,urgent,156,4.0,
T-2a19c6,A-52dd88,,,72,low,111,4.0,
T-836ae9,A-410e86,,,70,low,130,4.0,
T-895101,A-37f969,,,5,urgent,19,4.0,
T-203b1e,A-69b156,,,48,high,92,4.0,
T-6da9bc,A-396e5f,,,60,high,49,4.0,
T-0d73d3,A-ef84cf,,,59,low,143,4.0,
T-0f0bde,A-e888d1,,,51,medium,168,4.0,
T-b14d75,A-7641d3,,,52,medium,115,5.0,
T-8580fd,A-3a5ad8,,,50,urgent,149,4.0,
T-52fdaf,A-e08cd3,,,51,urgent,23,3.0,
T-0648e6,A-0e966d,,,12,low,113,4.0,
T-d93bf8,A-32728c,,,40,medium,51,3.0,
T-718543,A-f03140,,,65,urgent,46,3.0,
T-a61271,A-05d3b3,,,64,urgent,3,4.0,
T-0766ec,A-e351e1,,,5,low,100,3.0,
T-738fd8,A-7920cc,,,5,low,94,3.0,
T-3b09c6,A-49b828,,,26,medium,93,4.0,
T-946568,A-e40f45,,,27,medium,24,4.0,
T-1d4ad7,A-0be015,,,68,urgent,44,4.0,
T-69bbea,A-02fac6,,,16,medium,43,4.0,
T-b0f248,A-0be015,,,46,high,122,4.0,
T-676fdf,A-7920cc,,,26,medium,122,4.0,
T-80fc65,A-d82ef9,,,61,low,116,4.0,
T-7e129c,A-df10db,,,68,medium,46,3.0,
T-a0545c,A-484819,,,6,medium,152,4.0,
T-2c4195,A-ffc04f,,,8,low,175,5.0,
T-9fcefd,A-659280,,,2,low,91,4.0,
T-c752b7,A-e36807,,,13,high,145,5.0,
T-7c0dc3,A-b20d99,,,60,medium,32,4.0,
T-5cf4eb,A-ce550d,,,18,high,169,4.0,
T-b4957a,A-8ae3fc,,,2,urgent,73,4.0,
T-4a1a56,A-4e631b,,,29,urgent,86,4.0,
T-07694c,A-9779ad,,,9,high,96,4.0,
T-113483,A-1e50e0,,,22,urgent,116,4.0,
T-fc3f98,A-6f8ad2,,,50,urgent,17,4.0,
T-466cea,A-ced9aa,,,10,medium,70,4.0,
T-8caacd,A-eb7c38,,,5,urgent,56,4.0,
T-87f0f2,A-425e76,,,70,medium,164,3.0,
T-5df8d7,A-a6d261,,,49,medium,3,4.0,
T-7098db,A-117171,,,49,low,95,4.0,
T-39076a,A-b7724f,,,28,urgent,15,3.0,
T-ddcfa7,A-40906c,,,6,medium,84,3.0,
T-4f2be5,A-3ce5b8,,,45,medium,137,5.0,
T-91aaf3,A-e1462e,,,67,high,122,4.0,
T-39b9b3,A-779e4e,,,23,urgent,86,4.0,
T-3c3935,A-c1e51e,,,26,urgent,15,3.0,
T-7ff36c,A-0cc442,,,22,medium,11,4.0,
T-153c4f,A-297a2d,,,55,high,9,4.0,
T-2b9ac2,A-cbbe12,,,68,low,163,5.0,
T-59dfb0,A-82861f,,,59,medium,24,3.0,
T-ef9608,A-2bc93d,,,17,urgent,112,4.0,
T-77dffb,A-ee42db,,,11,medium,80,3.0,
T-77064e,A-cab532,,,32,low,175,4.0,
T-762eff,A-0f6450,,,28,low,46,3.0,
T-584792,A-d82ef9,,,51,low,121,4.0,
T-a67c6a,A-40de06,,,55,urgent,24,4.0,
T-0ebaee,A-659280,,,2,medium,178,4.0,
T-d035ff,A-86902e,,,54,urgent,22,4.0,
T-9e0fbe,A-42b791,,,38,urgent,34,3.0,
T-48a7e1,A-0baac2,,,44,low,79,4.0,
T-7dfcbc,A-ac9111,,,20,urgent,94,5.0,
T-011d44,A-dfbd31,,,13,low,159,4.0,
T-371908,A-d49cc5,,,7,low,53,4.0,
T-bc73ad,A-fd7ad3,,,45,low,103,5.0,
T-2d7007,A-bd4708,,,51,high,176,4.0,
T-1e7cbe,A-bb3bd4,,,25,high,158,4.0,
T-eaf4bf,A-f446b6,,,47,urgent,114,5.0,
T-885cc0,A-798a3f,,,10,high,33,5.0,
T-4e6353,A-ffc04f,,,29,low,123,4.0,
T-73bcc4,A-d27f50,,,35,medium,108,5.0,
T-882ab9,A-65c341,,,34,high,90,4.0,
T-88c429,A-700ade,,,26,urgent,22,4.0,
T-70430b,A-856b1e,,,25,low,8,4.0,
T-36a591,A-18793f,,,45,low,99,3.0,
T-016d69,A-f97b9a,,,43,high,85,4.0,
T-2a5b67,A-118d55,,,37,medium,47,5.0,
T-7976e4,A-50f3f7,,,70,medium,31,5.0,
T-d1973c,A-0532a9,,,55,low,88,4.0,
T-9dc012,A-fda07f,,,12,high,2,4.0,
T-d2dda8,A-81edc3,,,29,high,75,3.0,
T-c01944,A-c37cab,,,42,medium,146,3.0,
T-84745f,A-c16cf7,,,37,medium,165,4.0,
T-46f3a5,A-7c4956,,,11,low,64,4.0,
T-575b7e,A-e351e1,,,20,low,9,5.0,
T-2e8ffa,A-56962b,,,5,medium,153,4.0,
T-e65eaf,A-5b1bcd,,,43,urgent,14,4.0,
T-d23384,A-600734,,,69,high,74,4.0,
T-c512cd,A-86cdb4,,,5,high,81,3.0,
T-13a6c8,A-b44e3e,,,10,urgent,119,4.0,
T-c53a87,A-10b8da,,,37,high,105,4.0,
T-accc3f,A-53f4e3,,,36,urgent,55,4.0,
T-4d9add,A-6965e1,,,18,high,155,3.0,
T-391128,A-0dbdc6,,,70,medium,92,4.0,
T-02ebc4,A-0354fe,,,2,low,78,5.0,
T-95e4c4,A-484819,,,60,low,176,4.0,
T-2859a9,A-c1e51e,,,64,urgent,59,3.0,
T-80caf3,A-7641d3,,,55,urgent,123,4.0,
T-fc38c0,A-a1b80b,,,36,low,107,3.0,
T-d1454f,A-68f37c,,,17,medium,42,4.0,
T-f79198,A-0f7d77,,,25,medium,17,4.0,
T-2f8785,A-cdf020,,,2,low,121,5.0,
T-c961eb,A-f9cc74,,,50,medium,26,3.0,
T-5d144c,A-462d45,,,24,urgent,43,4.0,
T-bb236d,A-cd458b,,,45,urgent,61,5.0,
T-4616b9,A-17939a,,,66,high,105,5.0,
T-149155,A-5b4ebb,,,11,medium,17,4.0,
T-2ef7b5,A-a1bbb6,,,1,high,168,4.0,
T-b8a88e,A-94c3cd,,,55,medium,175,4.0,
T-e0928c,A-cbbe12,,,19,urgent,26,4.0,
T-86e8cc,A-ced9aa,,,17,low,147,4.0,
T-1070ee,A-bb1eaa,,,51,urgent,178,4.0,
T-c5474d,A-00cac8,,,65,urgent,149,4.0,
T-3c2ede,A-a1bbb6,,,16,high,147,4.0,
T-e18407,A-3b5cd1,,,60,urgent,92,4.0,
T-804db5,A-9f0b68,,,50,high,122,4.0,
T-ebcbc7,A-7e0a10,,,11,urgent,41,3.0,
T-b95195,A-cdf020,,,69,medium,28,4.0,
T-326fb6,A-1f559b,,,32,high,142,4.0,
T-4013e1,A-5b4ebb,,,70,low,18,5.0,
T-99dba7,A-dcc3f1,,,44,low,126,4.0,
T-cbc3ab,A-1f7acb,,,65,high,155,5.0,
T-2354bb,A-d26ab4,,,47,medium,72,4.0,
T-4e07bf,A-600734,,,14,urgent,123,3.0,
T-c39af4,A-149a69,,,65,low,59,4.0,
